"1","2","ObjectA","ObjectB","dist.sum","dist.avg","traits.length","objID.A","objID.B"
1,57,1,60,3.08333333333333,0.192708333333333,16,"U1514A-15H-2W-28-30cm_L63_1",""
1,58,1,61,4.1,0.151851851851852,27,"U1514A-15H-2W-28-30cm_L63_1",""
1,59,1,62,3.28333333333333,0.193137254901961,17,"U1514A-15H-2W-28-30cm_L63_1",""
1,60,1,63,2.83333333333333,0.166666666666667,17,"U1514A-15H-2W-28-30cm_L63_1",""
1,61,1,64,5.53333333333333,0.204938271604938,27,"U1514A-15H-2W-28-30cm_L63_1",""
1,62,1,65,5.2,0.192592592592593,27,"U1514A-15H-2W-28-30cm_L63_1",""
1,63,1,66,5.11666666666667,0.189506172839506,27,"U1514A-15H-2W-28-30cm_L63_1",""
1,64,1,67,3.45,0.2875,12,"U1514A-15H-2W-28-30cm_L63_1",""
1,65,1,68,2.53333333333333,0.158333333333333,16,"U1514A-15H-2W-28-30cm_L63_1",""
1,66,1,69,3.76666666666667,0.22156862745098,17,"U1514A-15H-2W-28-30cm_L63_1",""
1,67,1,70,3.26666666666667,0.192156862745098,17,"U1514A-15H-2W-28-30cm_L63_1",""
1,68,1,71,2.53333333333333,0.158333333333333,16,"U1514A-15H-2W-28-30cm_L63_1",""
1,69,1,72,3.38333333333333,0.225555555555556,15,"U1514A-15H-2W-28-30cm_L63_1",""
1,70,1,73,2.9,0.170588235294118,17,"U1514A-15H-2W-28-30cm_L63_1",""
1,71,1,74,3.36666666666667,0.198039215686275,17,"U1514A-15H-2W-28-30cm_L63_1",""
1,72,1,75,3.1,0.182352941176471,17,"U1514A-15H-2W-28-30cm_L63_1",""
1,73,1,77,2.36666666666667,0.147916666666667,16,"U1514A-15H-2W-28-30cm_L63_1",""
1,74,1,78,3.1,0.182352941176471,17,"U1514A-15H-2W-28-30cm_L63_1",""
1,75,1,79,2.03333333333333,0.127083333333333,16,"U1514A-15H-2W-28-30cm_L63_1",""
1,76,1,81,4.53333333333333,0.167901234567901,27,"U1514A-15H-2W-28-30cm_L63_1",""
1,77,1,82,5.53333333333333,0.204938271604938,27,"U1514A-15H-2W-28-30cm_L63_1",""
1,78,1,84,4.46666666666667,0.186111111111111,24,"U1514A-15H-2W-28-30cm_L63_1",""
1,79,1,85,3.66666666666667,0.135802469135802,27,"U1514A-15H-2W-28-30cm_L63_1",""
1,80,1,86,4.28333333333333,0.158641975308642,27,"U1514A-15H-2W-28-30cm_L63_1",""
1,81,1,87,0,0,0,"U1514A-15H-2W-28-30cm_L63_1",""
1,82,1,88,6.78333333333333,0.251234567901235,27,"U1514A-15H-2W-28-30cm_L63_1",""
1,83,1,89,6.23333333333333,0.230864197530864,27,"U1514A-15H-2W-28-30cm_L63_1",""
1,84,1,91,3.1,0.182352941176471,17,"U1514A-15H-2W-28-30cm_L63_1",""
1,85,1,92,4.28333333333333,0.16474358974359,26,"U1514A-15H-2W-28-30cm_L63_1",""
1,86,1,93,3.43333333333333,0.201960784313725,17,"U1514A-15H-2W-28-30cm_L63_1",""
1,87,1,94,3.03333333333333,0.189583333333333,16,"U1514A-15H-2W-28-30cm_L63_1",""
1,88,1,95,2.3,0.153333333333333,15,"U1514A-15H-2W-28-30cm_L63_1",""
1,89,1,98,3.03333333333333,0.189583333333333,16,"U1514A-15H-2W-28-30cm_L63_1",""
1,90,1,99,4.13333333333333,0.165333333333333,25,"U1514A-15H-2W-28-30cm_L63_1",""
1,91,1,100,3.43333333333333,0.12716049382716,27,"U1514A-15H-2W-28-30cm_L63_1",""
1,92,1,101,3.1,0.182352941176471,17,"U1514A-15H-2W-28-30cm_L63_1",""
1,93,1,102,2.78333333333333,0.185555555555556,15,"U1514A-15H-2W-28-30cm_L63_1",""
1,94,1,103,3.68333333333333,0.230208333333333,16,"U1514A-15H-2W-28-30cm_L63_1",""
1,95,1,104,2.66666666666667,0.166666666666667,16,"U1514A-15H-2W-28-30cm_L63_1",""
1,96,1,105,3.1,0.182352941176471,17,"U1514A-15H-2W-28-30cm_L63_1",""
1,97,1,106,2.33333333333333,0.137254901960784,17,"U1514A-15H-2W-28-30cm_L63_1",""
1,98,1,107,4.03333333333333,0.149382716049383,27,"U1514A-15H-2W-28-30cm_L63_1",""
1,99,1,108,0,0,0,"U1514A-15H-2W-28-30cm_L63_1",""
1,100,1,109,5.03333333333333,0.18641975308642,27,"U1514A-15H-2W-28-30cm_L63_1",""
1,101,1,110,0,0,0,"U1514A-15H-2W-28-30cm_L63_1",""
